pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_mnum
11 Com,11 Com b,Radial Velocity,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,,,,,93.37,1.92,-1.92,0,4742.00,100.00,-100.00,0,2.70,0.30,-0.30,0,,,,,0
11 UMi,11 UMi b,Radial Velocity,1,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,,14.74000,2.50000,-2.50000,0,,,,,125.72,1.97,-1.97,0,4213.00,46.00,-46.00,0,2.78,0.69,-0.69,0,,,,,0
14 And,14 And b,Radial Velocity,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,4.80000,,,0,,,,,75.59,0.71,-0.71,0,4813.00,20.00,-20.00,0,2.20,0.10,-0.20,0,,,,,0
14 Her,14 Her b,Radial Velocity,1,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,,,,,4.66000,0.15000,-0.15000,0,,,,,17.94,0.01,-0.01,0,5338.00,25.00,-25.00,0,0.90,0.04,-0.04,0,,,,,0
16 Cyg B,16 Cyg B b,Radial Velocity,1,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,,,,,1.78000,0.08000,-0.08000,0,,,,,21.15,0.01,-0.01,0,5750.00,8.00,-8.00,0,1.08,0.04,-0.04,0,,,,,0
18 Del,18 Del b,Radial Velocity,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,,,,,76.38,0.62,-0.62,0,4979.00,18.00,-18.00,0,2.30,,,0,,,,,0
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,,,,330.000000,,,0,,,,,,,,,8.00000,1.00000,-1.00000,0,,,,,145.00,14.00,-14.00,0,4060.00,300.00,-200.00,0,0.85,0.20,-0.10,0,3000.00000,300.00000,-300.00000,0,0
24 Boo,24 Boo b,Radial Velocity,1,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,,,,,0.91000,0.13000,-0.10000,0,,,,,96.25,0.64,-0.64,0,4893.00,15.00,-15.00,0,0.99,0.19,-0.13,0,,,,,0
24 Sex,24 Sex b,Radial Velocity,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,,,,,72.21,0.68,-0.68,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,,,,,0
24 Sex,24 Sex c,Radial Velocity,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,,,,,72.21,0.68,-0.68,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,,,,,0
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,1,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,24.50000,2.50000,-2.50000,0,,,,,36.00,4.00,-4.00,0,3530.00,50.00,-50.00,0,0.40,0.05,-0.05,0,7786.50000,794.50000,-794.50000,0,0
2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,1,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,13.90000,1.10000,-1.10000,0,1.440,0.030,-0.030,0,39.40,2.60,-2.60,0,3064.00,76.00,-76.00,0,0.11,0.01,-0.01,0,4417.83700,349.61300,-349.61300,0,0
2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,1,,,,,15.000000,,,0,,,,,,,,,7.50000,2.50000,-2.50000,0,,,,,140.00,,,0,,,,,0.02,,,0,2383.60000,794.50000,-794.50000,0,0
2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,1,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,4.00000,1.00000,-1.00000,0,,,,,64.42,0.65,-0.65,0,,,,,0.02,,,0,1271.00000,318.00000,-318.00000,0,0
2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,1.90000,0.10000,-0.10000,0,,,,,400.77,6.48,-6.48,0,,,,,0.48,0.03,-0.03,0,603.87700,31.78300,-31.78300,0,0
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,Imaging,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0,25.00,10.00,-10.00,0,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,6657.48000,26629.91000,-6657.48000,0,0
2MASS J22362452+4751425,2MASS J22362452+4751425 b,Imaging,1,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,12.50000,1.50000,-1.50000,0,,,,,74.00,10.00,-10.00,0,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,3972.87500,476.74500,-476.74500,0,0
30 Ari B,30 Ari B b,Radial Velocity,1,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,,,,,13.82000,1.80000,-1.80000,0,,,,,44.71,0.10,-0.10,0,6331.00,61.00,-61.00,0,1.93,0.27,-0.27,0,,,,,0
4 UMa,4 UMa b,Radial Velocity,1,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,,,,,73.58,1.18,-1.18,0,4415.00,70.00,-70.00,0,1.23,0.15,-0.15,0,,,,,0
42 Dra,42 Dra b,Radial Velocity,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,,,,,90.86,1.32,-1.32,0,4200.00,70.00,-70.00,0,0.98,0.05,-0.05,0,,,,,0
47 UMa,47 UMa b,Radial Velocity,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,,,,,13.80,0.03,-0.03,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,,,,,0
47 UMa,47 UMa c,Radial Velocity,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,,,,,13.80,0.03,-0.03,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,,,,,0
47 UMa,47 UMa d,Radial Velocity,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,,,,,13.80,0.03,-0.03,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,,,,,0
51 Eri,51 Eri b,Imaging,1,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,0.450000,0.100000,-0.150000,0,133.000,14.000,-7.000,0,,,,,,,,,29.40,0.30,-0.30,0,,,,,1.75,0.05,-0.05,0,,,,,0
51 Peg,51 Peg b,Radial Velocity,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,,,,,15.47,0.03,-0.03,0,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,,,,,0
55 Cnc,55 Cnc b,Radial Velocity,5,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,,,,,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,263.97850,1.04880,-1.04880,0,0
55 Cnc,55 Cnc c,Radial Velocity,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,,,,,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,54.47380,1.74800,-1.74800,0,0
55 Cnc,55 Cnc d,Radial Velocity,5,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,90.000,,,0,3.87800,0.06800,-0.06800,0,,,,,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,1232.49300,21.61200,-21.61200,0,0
55 Cnc,55 Cnc e,Radial Velocity,5,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,,83.300,0.900,-0.800,0,0.02542,0.00098,-0.00098,0,0.170,0.007,-0.007,0,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,8.08000,0.31000,-0.31000,0,0
55 Cnc,55 Cnc f,Radial Velocity,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,,,,,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,44.81200,3.81400,-3.81400,0,0
6 Lyn,6 Lyn b,Radial Velocity,1,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,,,,,2.01000,0.07700,-0.07700,0,,,,,54.74,0.27,-0.27,0,4938.00,,,0,1.44,,,0,,,,,0
61 Vir,61 Vir b,Radial Velocity,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,,,,,8.51,0.02,-0.02,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,,,,,0
61 Vir,61 Vir c,Radial Velocity,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,,,,,8.51,0.02,-0.02,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,,,,,0
61 Vir,61 Vir d,Radial Velocity,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,,,,,8.51,0.02,-0.02,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,,,,,0
7 CMa,7 CMa b,Radial Velocity,2,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,0.060000,0.030000,-0.030000,0,90.000,,,0,1.85000,0.06000,-0.06000,0,,,,,19.82,0.16,-0.16,0,4826.00,45.00,-55.00,0,1.34,0.11,-0.12,0,,,,,0
7 CMa,7 CMa c,Radial Velocity,2,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,0.080000,0.050000,-0.040000,0,90.000,,,0,0.87000,0.06000,-0.06000,0,,,,,19.82,0.16,-0.16,0,4826.00,45.00,-55.00,0,1.34,0.11,-0.12,0,,,,,0
70 Vir,70 Vir b,Radial Velocity,1,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,,,,,7.41600,0.05700,-0.05700,0,,,,,17.91,0.06,-0.06,0,5495.00,,,0,1.09,,,0,,,,,0
75 Cet,75 Cet b,Radial Velocity,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,,,,,3.00000,,,0,,,,,83.15,0.72,-0.72,0,4846.00,18.00,-18.00,0,2.49,0.02,-0.27,0,,,,,0
8 UMi,8 UMi b,Radial Velocity,1,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,,,,,1.31000,0.16000,-0.16000,0,,,,,163.32,0.65,-0.65,0,4847.00,7.00,-7.00,0,1.44,0.19,-0.19,0,,,,,0
81 Cet,81 Cet b,Radial Velocity,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,5.30000,,,0,,,,,101.53,1.22,-1.22,0,4785.00,25.00,-25.00,0,2.40,0.10,-0.40,0,,,,,0
91 Aqr,91 Aqr b,Radial Velocity,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,3.20000,,,0,,,,,44.08,0.51,-0.51,0,4665.00,18.00,-18.00,0,1.40,0.10,-0.10,0,,,,,0
AB Pic,AB Pic b,Imaging,1,,,,,260.000000,,,0,,,,,,,,,13.50000,0.50000,-0.50000,0,,,,,50.12,0.07,-0.07,0,,,,,,,,,4290.50000,158.90000,-158.90000,0,0
BD+03 2562,BD+03 2562 b,Radial Velocity,1,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,,,,,6.40000,1.30000,-1.30000,0,,,,,2618.00,564.00,-564.00,0,4095.00,20.00,-20.00,0,1.14,0.25,-0.25,0,,,,,0
BD+14 4559,BD+14 4559 b,Radial Velocity,1,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,,,,,1.04000,0.47000,-0.47000,0,,,,,49.42,0.08,-0.08,0,4864.00,101.00,-101.00,0,0.49,0.33,-0.33,0,,,,,0
